longitude,latitude,sqft_living,total_bedrooms,population,price,ocean_proximity,yr_changed
-122.23,37.88,880,1.0,322,452600,1,1982
-122.22,37.86,7099,4.0,2401,358500,1,2002
-122.24,37.85,1467,1.0,496,352100,1,1971
-122.25,37.85,1274,1.0,558,341300,1,1971
-122.25,37.85,1627,1.0,565,342200,1,1971
-122.25,37.85,919,1.0,413,269700,1,1971
-122.25,37.84,2535,1.0,1094,299200,1,1971
-122.25,37.84,3104,2.0,1157,241400,1,1971
-122.26,37.84,2555,2.0,1206,226700,1,1981
-122.25,37.84,3549,2.0,1551,261100,1,1971
-122.26,37.85,2202,1.0,910,281500,1,1971
-122.26,37.85,3503,3.0,1504,241800,1,1971
-122.26,37.85,2491,1.0,1098,213500,1,1971
-122.26,37.84,696,1.0,345,191300,1,1971
-122.26,37.85,2643,2.0,1212,159200,1,1971
-122.26,37.85,1120,1.0,697,140000,1,1973
-122.27,37.85,1966,1.0,793,152500,1,1971
-122.27,37.85,1228,1.0,648,155500,1,1971
-122.26,37.84,2239,1.0,990,158700,1,1973
-122.27,37.84,1503,1.0,690,162900,1,1971
-122.27,37.85,751,1.0,409,147500,1,1983
-122.27,37.85,1639,1.0,929,159800,1,1981
-122.27,37.84,2436,2.0,1015,113900,1,1971
-122.27,37.84,1688,1.0,853,99700,1,1971
-122.27,37.84,2224,1.0,1006,132600,1,1971
-122.28,37.85,535,1.0,317,107500,1,1982
-122.28,37.85,1130,1.0,607,93800,1,1974
-122.28,37.85,1898,1.0,1102,105500,1,1971
-122.28,37.84,2082,1.0,1131,108900,1,1973
-122.28,37.84,729,1.0,395,132000,1,1971
-122.28,37.84,1916,1.0,863,122300,1,1974
-122.28,37.84,2153,1.0,1168,115200,1,1971
-122.27,37.84,1922,1.0,1026,110400,1,1975
-122.27,37.83,1655,1.0,754,104900,1,1974
-122.27,37.83,2665,2.0,1258,109700,1,1972
-122.27,37.83,1215,1.0,570,97200,1,1974
-122.27,37.83,1798,1.0,987,104500,1,1975
-122.28,37.83,1511,1.0,901,103900,1,1971
-122.26,37.83,1470,1.0,689,191400,1,1971
-122.26,37.83,2432,2.0,1377,176000,1,1971
-122.26,37.83,1665,1.0,946,155400,1,1971
-122.26,37.83,936,1.0,517,150000,1,1972
-122.26,37.84,713,1.0,462,118800,1,1974
-122.26,37.84,950,1.0,467,188800,1,1971
-122.26,37.83,1443,1.0,660,184400,1,1971
-122.26,37.83,1656,1.0,718,182300,1,1971
-122.26,37.83,1125,1.0,616,142500,1,1973
-122.27,37.82,1007,1.0,558,137500,1,1980
-122.26,37.82,624,1.0,423,187500,1,1983
-122.27,37.82,946,1.0,700,112500,1,1983
-122.27,37.82,896,1.0,735,171900,1,2002
-122.27,37.82,1868,1.0,1061,93800,1,1980
-122.27,37.82,3221,3.0,1959,97500,1,1982
-122.27,37.82,1630,1.0,1162,104200,1,1971
-122.28,37.82,1170,1.0,701,87500,1,1971
-122.28,37.82,945,1.0,576,83100,1,1971
-122.28,37.82,1238,1.0,622,87500,1,1971
-122.28,37.82,1489,1.0,728,85300,1,1971
-122.28,37.82,1387,1.0,1074,80300,1,1971
-122.29,37.82,158,1.0,94,60000,1,2021
-122.29,37.83,1121,1.0,554,75700,1,1971
-122.29,37.82,135,1.0,86,75000,1,1974
-122.29,37.81,760,1.0,377,86100,1,1973
-122.3,37.81,1224,1.0,521,76100,1,1971
-122.3,37.81,828,1.0,392,73500,1,1975
-122.3,37.81,1010,1.0,604,78400,1,1971
-122.3,37.81,1455,1.0,788,84400,1,1975
-122.29,37.8,1027,1.0,492,81300,1,1971
-122.3,37.81,572,1.0,274,85000,1,1971
-122.29,37.81,2801,2.0,1823,129200,1,1977
-122.29,37.81,768,1.0,392,82500,1,1997
-122.29,37.81,935,1.0,582,95200,1,1977
-122.29,37.81,844,1.0,560,75000,1,1974
-122.29,37.81,12,1.0,18,67500,1,1977
-122.29,37.81,835,1.0,290,137500,1,2003
-122.28,37.81,1237,1.0,762,177500,1,2006
-122.28,37.81,2914,2.0,1236,102100,1,1987
-122.28,37.81,1207,1.0,721,108300,1,2004
-122.29,37.81,1745,1.0,1054,112500,1,2000
-122.28,37.8,684,1.0,344,131300,1,1985
-122.28,37.81,924,1.0,609,162500,1,2006
-122.27,37.81,210,1.0,183,112500,1,1971
-122.28,37.81,340,1.0,200,112500,1,1971
-122.28,37.81,386,1.0,346,137500,1,1971
-122.28,37.81,948,1.0,467,118800,1,1988
-122.28,37.81,773,1.0,377,98200,1,1971
-122.27,37.81,880,1.0,582,118800,1,1983
-122.27,37.81,875,1.0,546,162500,1,2013
-122.27,37.8,105,1.0,125,137500,1,2013
-122.27,37.8,249,1.0,396,500001,1,1971
-122.27,37.8,994,1.0,800,162500,1,2007
-122.28,37.8,215,1.0,904,137500,1,1971
-122.28,37.8,96,1.0,191,162500,1,1971
-122.27,37.79,1055,1.0,718,187500,1,1996
-122.27,37.8,1715,2.0,1327,179200,1,1984
-122.26,37.8,5329,9.0,3469,130000,1,1987
-122.26,37.82,4596,5.0,2048,183800,1,1992
-122.26,37.81,335,1.0,202,125000,1,1994
-122.26,37.82,3682,5.0,2024,170000,1,2001
-122.26,37.82,3633,4.0,1838,193100,1,1986
-122.25,37.81,4656,5.0,2304,257800,1,1994
-122.25,37.81,5806,6.0,2563,273400,1,1995
-122.25,37.81,854,1.0,389,237500,1,1984
-122.25,37.81,2155,2.0,895,350000,1,1971
-122.26,37.81,5871,7.0,2689,335700,1,1989
-122.24,37.82,1509,1.0,674,313400,1,1971
-122.24,37.81,2026,1.0,709,268500,1,1971
-122.25,37.81,1758,1.0,686,259400,1,1971
-122.24,37.82,3481,3.0,1444,275700,1,1971
-122.25,37.82,3337,3.0,1520,225000,1,1995
-122.25,37.82,1424,1.0,550,262500,1,1971
-122.25,37.82,3809,4.0,1806,218500,1,1991
-122.25,37.82,3959,4.0,1749,255000,1,1997
-122.25,37.83,2376,2.0,939,224100,1,1971
-122.25,37.83,1613,1.0,675,243100,1,1988
-122.25,37.83,1279,1.0,534,231600,1,1971
-122.25,37.83,5022,7.0,2558,218500,1,1995
-122.25,37.83,4190,4.0,1786,234100,1,1971
-122.23,37.84,2515,1.0,970,327600,1,1973
-122.23,37.84,3175,1.0,1098,347600,1,1976
-122.24,37.83,2576,1.0,794,366100,1,1982
-122.24,37.85,334,1.0,98,335000,1,1986
-122.23,37.85,2800,1.0,1061,373600,1,1971
-122.24,37.84,3529,2.0,1177,389500,1,1971
-122.24,37.85,2612,1.0,901,391100,1,1971
-122.22,37.85,5287,4.0,2031,337300,1,1995
-122.22,37.84,2935,1.0,1031,295200,1,1973
-122.21,37.84,3424,2.0,1358,292300,1,1979
-122.21,37.83,4991,2.0,1616,411500,1,1983
-122.2,37.84,2211,1.0,844,311500,1,1993
-122.21,37.84,3038,1.0,1140,325900,1,1989
-122.19,37.84,1617,1.0,533,392600,1,2005
-122.2,37.84,2865,1.0,1072,319300,1,1988
-122.21,37.83,5065,3.0,1627,333300,1,1989
-122.19,37.83,1326,1.0,463,335200,1,1995
-122.2,37.83,1589,1.0,542,351200,1,1997
-122.19,37.83,1791,1.0,661,368900,1,1994
-122.19,37.82,1835,1.0,635,365900,1,1991
-122.2,37.82,1229,1.0,420,366700,1,1986
-122.2,37.82,3770,2.0,1265,362800,1,1984
-122.18,37.81,292,1.0,126,483300,1,1993
-122.21,37.82,2375,1.0,813,331400,1,1971
-122.2,37.81,2964,1.0,1067,323500,1,1978
-122.21,37.8,2833,2.0,1260,216700,1,1973
-122.21,37.8,2254,2.0,951,233100,1,1985
-122.21,37.81,1389,1.0,510,296400,1,1971
-122.22,37.81,1971,1.0,765,273700,1,1971
-122.22,37.8,2183,1.0,1129,227700,1,1971
-122.22,37.8,2286,1.0,1073,199600,1,1971
-122.22,37.8,2721,2.0,1185,239800,1,1971
-122.22,37.81,2024,1.0,756,270100,1,1971
-122.22,37.81,2944,2.0,1034,302100,1,1971
-122.23,37.8,2033,1.0,787,269500,1,1971
-122.23,37.81,1433,1.0,612,314700,1,1971
-122.22,37.81,2927,1.0,1021,390100,1,1971
-122.23,37.81,2315,1.0,861,410300,1,1971
-122.24,37.81,2485,1.0,953,352400,1,1971
-122.24,37.81,1490,1.0,634,287300,1,1971
-122.23,37.81,2814,1.0,878,348700,1,1971
-122.24,37.81,2093,2.0,918,243800,1,1971
-122.24,37.8,888,1.0,360,211500,1,1971
-122.25,37.8,2087,2.0,1197,218400,1,1971
-122.24,37.81,2513,2.0,1048,269900,1,1971
-122.25,37.81,3232,3.0,1373,218800,1,1977
-122.25,37.8,4120,4.0,1715,225000,1,1981
-122.25,37.8,2364,3.0,1359,250000,1,1980
-122.25,37.8,1471,1.0,1062,171400,1,1982
-122.25,37.8,2468,3.0,1335,193800,1,1994
-122.24,37.79,1632,1.0,1171,125000,1,1996
-122.25,37.79,1786,2.0,1475,97500,1,1978
-122.25,37.79,629,1.0,742,125000,1,1973
-122.25,37.79,1339,1.0,1086,138800,1,1971
-122.25,37.8,1678,2.0,1645,116700,1,1987
-122.25,37.8,2344,2.0,1710,151800,1,1980
-122.24,37.8,996,1.0,731,127000,1,1971
-122.24,37.8,1591,1.0,1118,128600,1,1971
-122.24,37.8,1586,1.0,1006,140600,1,1971
-122.24,37.8,2046,2.0,1213,182700,1,1976
-122.23,37.8,1192,1.0,772,146900,1,1971
-122.24,37.8,1803,1.0,1321,122800,1,1971
-122.24,37.8,2838,2.0,1487,169300,1,1974
-122.23,37.8,783,1.0,488,126600,1,1971
-122.23,37.8,1590,1.0,949,127900,1,1972
-122.23,37.8,1746,1.0,1149,123500,1,1973
-122.23,37.8,1252,1.0,844,111900,1,1971
-122.23,37.79,5963,5.0,4367,112800,1,1980
-122.23,37.79,1783,1.0,1659,107900,1,1971
-122.23,37.79,999,1.0,1011,137500,1,1993
-122.24,37.79,1469,1.0,1464,105500,1,1984
-122.24,37.79,1372,1.0,1237,95500,1,1976
-122.24,37.79,674,1.0,647,116100,1,1971
-122.24,37.79,1626,1.0,1284,112200,1,1980
-122.25,37.79,175,1.0,228,75000,1,1972
-122.25,37.79,461,1.0,381,112500,1,1984
-122.25,37.79,902,1.0,846,125000,1,1971
-122.26,37.8,2373,3.0,1659,115000,1,2003
