price,bedrooms,bathrooms,sqft_living,ocean_proximity,yr_changed,latitude,longitude
221900,3,1.0,1180,0,1955,47.5112,-122.257
538000,3,2.25,2570,0,1991,47.721,-122.319
180000,2,1.0,770,0,1933,47.7379,-122.233
604000,4,3.0,1960,0,1965,47.5208,-122.393
510000,3,2.0,1680,0,1987,47.6168,-122.045
1225000,4,4.5,5420,0,2001,47.6561,-122.005
257500,3,2.25,1715,0,1995,47.3097,-122.327
291850,3,1.5,1060,0,1963,47.4095,-122.315
229500,3,1.0,1780,0,1960,47.5123,-122.337
323000,3,2.5,1890,0,2003,47.3684,-122.031
662500,3,2.5,3560,0,1965,47.6007,-122.145
468000,2,1.0,1160,0,1942,47.69,-122.292
310000,3,1.0,1430,0,1927,47.7558,-122.229
400000,3,1.75,1370,0,1977,47.6127,-122.045
530000,5,2.0,1810,0,1900,47.67,-122.394
650000,4,3.0,2950,0,1979,47.5714,-122.375
395000,3,2.0,1890,0,1994,47.7277,-121.962
485000,4,1.0,1600,0,1916,47.6648,-122.343
189000,2,1.0,1200,0,1921,47.3089,-122.21
230000,3,1.0,1250,0,1969,47.3343,-122.306
385000,4,1.75,1620,0,1947,47.7025,-122.341
2000000,3,2.75,3050,0,1968,47.5316,-122.233
285000,5,2.5,2270,0,1995,47.3266,-122.169
252700,2,1.5,1070,0,1985,47.3533,-122.166
329000,3,2.25,2450,0,1985,47.3739,-122.172
233000,3,2.0,1710,0,1941,47.3048,-122.218
937000,3,1.75,2450,0,1915,47.6386,-122.36
667000,3,1.0,1400,0,1909,47.6221,-122.314
438000,3,1.75,1520,0,1948,47.695,-122.304
719000,4,2.5,2570,0,2005,47.7073,-122.11
580500,3,2.5,2320,0,2003,47.5391,-122.07
280000,2,1.5,1190,0,2005,47.7274,-122.357
687500,4,1.75,2330,0,1929,47.6823,-122.368
535000,3,1.0,1090,0,1929,47.6889,-122.375
322500,4,2.75,2060,0,1981,47.4276,-122.157
696000,3,2.5,2300,0,2002,47.6827,-122.31
550000,4,1.0,1660,0,1933,47.6621,-122.132
640000,4,2.0,2360,0,1904,47.6702,-122.362
240000,4,1.0,1220,0,1969,47.3341,-122.282
