longitude,latitude,sqft_living,population,price,ocean_proximity,yr_changed,bedrooms
-122.23,37.88,880,322,452600,1,1982,1.0
-122.22,37.86,7099,2401,358500,1,2002,4.0
-122.24,37.85,1467,496,352100,1,1971,1.0
-122.25,37.85,1274,558,341300,1,1971,1.0
-122.25,37.85,1627,565,342200,1,1971,1.0
-122.25,37.85,919,413,269700,1,1971,1.0
-122.25,37.84,2535,1094,299200,1,1971,1.0
-122.25,37.84,3104,1157,241400,1,1971,2.0
-122.26,37.84,2555,1206,226700,1,1981,2.0
-122.25,37.84,3549,1551,261100,1,1971,2.0
-122.26,37.85,2202,910,281500,1,1971,1.0
-122.26,37.85,3503,1504,241800,1,1971,3.0
-122.26,37.85,2491,1098,213500,1,1971,1.0
-122.26,37.84,696,345,191300,1,1971,1.0
-122.26,37.85,2643,1212,159200,1,1971,2.0
-122.26,37.85,1120,697,140000,1,1973,1.0
-122.27,37.85,1966,793,152500,1,1971,1.0
-122.27,37.85,1228,648,155500,1,1971,1.0
-122.26,37.84,2239,990,158700,1,1973,1.0
-122.27,37.84,1503,690,162900,1,1971,1.0
-122.27,37.85,751,409,147500,1,1983,1.0
-122.27,37.85,1639,929,159800,1,1981,1.0
-122.27,37.84,2436,1015,113900,1,1971,2.0
-122.27,37.84,1688,853,99700,1,1971,1.0
-122.27,37.84,2224,1006,132600,1,1971,1.0
-122.28,37.85,535,317,107500,1,1982,1.0
-122.28,37.85,1130,607,93800,1,1974,1.0
-122.28,37.85,1898,1102,105500,1,1971,1.0
-122.28,37.84,2082,1131,108900,1,1973,1.0
-122.28,37.84,729,395,132000,1,1971,1.0
-122.28,37.84,1916,863,122300,1,1974,1.0
-122.28,37.84,2153,1168,115200,1,1971,1.0
-122.27,37.84,1922,1026,110400,1,1975,1.0
-122.27,37.83,1655,754,104900,1,1974,1.0
-122.27,37.83,2665,1258,109700,1,1972,2.0
-122.27,37.83,1215,570,97200,1,1974,1.0
-122.27,37.83,1798,987,104500,1,1975,1.0
-122.28,37.83,1511,901,103900,1,1971,1.0
-122.26,37.83,1470,689,191400,1,1971,1.0
-122.26,37.83,2432,1377,176000,1,1971,2.0
-122.26,37.83,1665,946,155400,1,1971,1.0
-122.26,37.83,936,517,150000,1,1972,1.0
-122.26,37.84,713,462,118800,1,1974,1.0
-122.26,37.84,950,467,188800,1,1971,1.0
-122.26,37.83,1443,660,184400,1,1971,1.0
-122.26,37.83,1656,718,182300,1,1971,1.0
-122.26,37.83,1125,616,142500,1,1973,1.0
-122.27,37.82,1007,558,137500,1,1980,1.0
-122.26,37.82,624,423,187500,1,1983,1.0
-122.27,37.82,946,700,112500,1,1983,1.0
-122.27,37.82,896,735,171900,1,2002,1.0
-122.27,37.82,1868,1061,93800,1,1980,1.0
-122.27,37.82,3221,1959,97500,1,1982,3.0
