bathrooms,ROOMS,bedrooms,Yr_changed,price,STYLE,KITCHENS,FIREPLACES,sqft_living,latitude,longitude,ocean_proximity
4,8,4,1988.0,1095000.0,3 Story,2.0,5,1680,38.91468021,-77.04083204,1
3,9,5,2009.0,2100000.0,3 Story,2.0,4,1680,38.91468351,-77.04067788,1
3,8,5,2003.0,1602000.0,3 Story,2.0,3,1680,38.91468254,-77.04062899,1
3,8,4,2011.0,1050000.0,3 Story,2.0,1,1627,38.9154077,-77.04012874,1
3,7,3,2008.0,1430000.0,2 Story,2.0,1,1424,38.91501736,-77.03990344,1
3,5,3,2000.0,1325000.0,2 Story,2.0,1,1815,38.91503805,-77.03971585,1
3,8,3,2006.0,1240000.0,2 Story,1.0,0,1424,38.9150181,-77.03984429,1
3,9,3,2013.0,592250.0,2 Story,2.0,1,1424,38.91501863,-77.04013809,1
3,14,5,2009.0,33232.0,3 Story,1.0,3,2090,38.9113701,-77.03377377,1
1,6,3,2010.0,907400.0,2 Story,1.0,0,2090,38.91136808,-77.03392492,1
2,5,3,2010.0,1065000.0,2 Story,1.0,1,2090,38.91136779,-77.03397185,1
2,8,3,2004.0,1100000.0,2 Story,1.0,2,2090,38.91131903,-77.03407029,1
1,8,4,2010.0,20000.0,2 Story,1.0,0,2090,38.91133747,-77.03415574,1
3,9,3,1963.0,703700.0,3 Story,4.0,0,1853,38.91173194,-77.0341821,1
3,11,3,2014.0,1210000.0,3 Story,2.0,3,1853,38.91169919,-77.03405099,1
2,6,2,2004.0,130500.0,3 Story,1.0,3,1853,38.9117097,-77.03384576,1
2,8,4,2009.0,339500.0,3 Story,2.0,0,1853,38.9117011,-77.03336691,1
3,9,4,1978.0,1050000.0,3 Story,2.0,0,1853,38.91170629,-77.03315557,1
3,9,4,2016.0,1550000.0,3 Story,2.0,2,1853,38.91171027,-77.03308685,1
3,9,4,2009.0,1599900.0,3 Story,2.0,2,1853,38.91169563,-77.0329501,1
3,13,4,2006.0,1700000.0,3 Story,2.0,3,1853,38.91170384,-77.0328838,1
3,10,4,2016.0,1700000.0,3 Story,2.0,2,1853,38.91170567,-77.03281462,1
3,10,5,2009.0,450000.0,3 Story,2.0,0,1853,38.91171623,-77.03274429,1
3,9,4,2011.0,846000.0,3 Story,2.0,2,1971,38.91171643,-77.03267223,1
3,5,4,2006.0,1312000.0,2 Story,2.0,2,1853,38.9120194,-77.03355869,1
1,4,2,2004.0,390000.0,3 Story,2.0,0,1853,38.9120416,-77.0337049,1
3,8,3,2007.0,772500.0,2 Story,2.0,2,1853,38.91202114,-77.0337667,1
1,4,1,2004.0,499000.0,2 Story,2.0,1,374,38.91474119,-77.03505272,1
2,9,2,1974.0,216000.0,2 Story,2.0,2,456,38.9147422,-77.03498434,1
3,8,3,2002.0,636090.0,2 Story,2.0,2,1372,38.91426921,-77.0348454,1
4,11,5,2002.0,1599000.0,4 Story,3.0,0,950,38.91467185,-77.03614486,1
3,8,3,2007.0,380000.0,3 Story,3.0,3,1344,38.9149604,-77.03581097,1
4,8,5,2000.0,1295000.0,3 Story,3.0,2,1626,38.91537523,-77.03581002,1
3,10,6,2012.0,1255000.0,3 Story,2.0,3,1400,38.91279707,-77.0348305,1
3,10,4,2009.0,463000.0,3 Story,3.0,0,1400,38.91279588,-77.03488873,1
3,10,4,2008.0,990000.0,3 Story,2.0,2,1400,38.91279361,-77.03495733,1
2,6,3,2005.0,682500.0,2 Story,2.0,1,791,38.91601595,-77.03822639,1
4,8,3,2014.0,993500.0,2 Story,1.0,1,814,38.91604937,-77.03822571,1
2,7,2,2011.0,745000.0,2 Story,1.0,1,838,38.91608432,-77.03822735,1
2,11,4,2012.0,1155000.0,2 Story,2.0,2,1183,38.91605339,-77.03776518,1
2,11,3,2014.0,1363000.0,2 Story,2.0,2,1320,38.9159549,-77.03786325,1
3,11,4,2007.0,1148000.0,2 Story,2.0,2,1368,38.91592138,-77.03788941,1
3,9,3,2012.0,900000.0,2 Story,2.0,0,1795,38.9142865,-77.03721308,1
3,9,4,2011.0,1440000.0,3 Story,3.0,4,1700,38.91428781,-77.03733058,1
2,6,2,1990.0,872000.0,2 Story,1.0,0,1700,38.91426911,-77.03751021,1
4,8,4,2008.0,1925000.0,3 Story,2.0,2,1968,38.91538326,-77.037504,1
2,7,3,2004.0,1280000.0,2 Story,1.0,2,1000,38.91349607,-77.0463724,1
4,12,4,2013.0,770000.0,4 Story,4.0,4,960,38.91291232,-77.0464065,1
4,11,5,2015.0,750000.0,3 Story,2.0,3,2678,38.91279384,-77.04599075,1
4,16,5,2009.0,2675000.0,4 Story,1.0,5,2850,38.91282907,-77.04620812,1
4,11,6,2000.0,1844970.0,3 Story,2.0,2,1224,38.91276223,-77.04644353,1
5,10,6,2005.0,2350000.0,3 Story,3.0,6,1960,38.91133346,-77.04563964,1
3,8,4,2003.0,1680000.0,3 Story,2.0,3,1960,38.91130425,-77.04570984,1
4,11,6,2007.0,2834050.0,3 Story,2.0,6,1800,38.91169665,-77.0461555,1
3,10,4,2007.0,1495000.0,3 Story,3.0,6,1800,38.91166376,-77.04596973,1
3,8,4,2009.0,2150000.0,3 Story,1.0,6,1800,38.91170325,-77.04588282,1
3,11,4,2001.0,1945000.0,3 Story,2.0,6,1800,38.91170327,-77.04582367,1
3,11,4,2009.0,1805000.0,3 Story,2.0,6,1800,38.91170329,-77.04576175,1
2,9,3,2004.0,2150000.0,3 Story,2.0,2,1620,38.91170305,-77.04568854,1
3,11,5,1935.0,1625000.0,3 Story,2.0,7,1800,38.91170335,-77.04562443,1
4,9,5,1984.0,1450000.0,3 Story,2.0,5,1800,38.91202459,-77.04583149,1
2,9,3,2010.0,1905000.0,3 Story,1.0,4,1800,38.91201295,-77.04590112,1
5,10,5,2001.0,1865000.0,3 Story,1.0,5,1800,38.91202579,-77.04622686,1
2,6,3,2004.0,890000.0,2 Story,1.0,0,1424,38.91502138,-77.04025524,1
3,6,3,2005.0,1345000.0,2 Story,2.0,0,1424,38.91502073,-77.04031347,1
1,6,3,2006.0,282777.0,2 Story,1.0,0,1424,38.91501675,-77.04037343,1
3,9,3,2008.0,715000.0,2 Story,1.0,1,1424,38.91502267,-77.04043166,1
3,7,3,2013.0,1315000.0,2 Story,2.0,0,1424,38.91501319,-77.04048943,1
3,9,4,2015.0,1440000.0,2 Story,2.0,1,1424,38.91501191,-77.04054754,1
3,7,5,2013.0,1060000.0,3 Story,1.0,0,1627,38.91536069,-77.04060712,1
2,8,5,2015.0,1925000.0,3 Story,2.0,1,1627,38.91535621,-77.0405467,1
3,9,3,2010.0,979000.0,3 Story,2.0,0,1627,38.91536535,-77.04042678,1
4,9,4,2007.0,1737000.0,3 Story,2.0,1,1627,38.91536242,-77.04030709,1
2,6,3,2004.0,865000.0,2 Story,2.0,1,680,38.91177293,-77.04192908,1
2,5,2,2007.0,795000.0,2 Story,1.0,1,680,38.91176982,-77.04203954,1
2,6,3,2004.0,950000.0,2 Story,1.0,1,652,38.91176881,-77.04209868,1
2,5,2,2004.0,799000.0,2 Story,1.0,1,710,38.91178239,-77.04217168,1
2,7,2,1984.0,1050000.0,2 Story,1.0,3,1800,38.91220289,-77.04316998,1
2,6,3,1996.0,1100000.0,2 Story,1.0,3,1800,38.91225631,-77.04316597,1
4,12,4,2007.0,2279000.0,4 Story,4.0,1,1685,38.91036492,-77.0419324,1
2,6,3,2001.0,200000.0,3 Story,1.0,1,510,38.91827297,-77.03881868,1
2,6,3,2004.0,650000.0,3 Story,1.0,1,421,38.91826566,-77.03886676,1
1,6,1,2004.0,660000.0,3 Story,1.0,0,331,38.91824997,-77.03892072,1
2,6,3,2003.0,830000.0,3 Story,1.0,0,560,38.91828932,-77.03870442,1
1,6,3,2013.0,635000.0,2 Story,1.0,0,827,38.91744741,-77.03921686,1
1,6,3,2011.0,673500.0,3 Story,1.0,1,827,38.91745492,-77.03911078,1
3,7,2,2005.0,317000.0,2 Story,2.0,3,1853,38.91203562,-77.03384199,1
3,10,4,2004.0,350000.0,3 Story,3.0,3,1853,38.91204642,-77.03418998,1
3,6,4,2009.0,1048500.0,3 Story,2.0,2,922,38.91129944,-77.03421683,1
3,8,4,2016.0,2020000.0,3 Story,2.0,2,818,38.91130111,-77.03434585,1
2,10,5,2004.0,127000.0,3 Story,2.0,0,896,38.91148129,-77.03430097,1
3,7,3,2007.0,820000.0,4 Story,2.0,2,429,38.91166622,-77.03433196,1
2,8,3,2004.0,822500.0,3 Story,2.0,0,1853,38.91202473,-77.03315733,1
3,8,2,2004.0,705500.0,3 Story,2.0,1,1458,38.91095967,-77.03411959,1
2,6,2,2008.0,900000.0,3 Story,1.0,1,1170,38.91026363,-77.03400442,1
2,6,3,2011.0,140000.0,2 Story,1.0,0,1364,38.91095792,-77.03333451,1
3,12,3,2010.0,2000000.0,2 Story,2.0,3,2150,38.91095681,-77.03374913,1
3,10,5,2014.0,1410000.0,3 Story,1.0,1,1612,38.91095893,-77.03386777,1
2,8,5,2004.0,349000.0,2 Story,1.0,0,2150,38.91096063,-77.03359901,1
3,15,7,2006.0,1700000.0,3 Story,2.0,4,1900,38.91538376,-77.03736263,1
4,10,6,1999.0,1255000.0,3 Story,2.0,3,1900,38.91536939,-77.03722264,1
3,9,3,2009.0,501000.0,3 Story,2.0,3,2100,38.91430701,-77.03757711,1
5,15,5,1988.0,1550000.0,3 Story,4.0,4,2100,38.91426703,-77.03779744,1
5,10,6,2012.0,1430000.0,3 Story,2.0,0,2100,38.914288,-77.03787355,1
2,7,4,2012.0,1510000.0,3 Story,1.0,1,1450,38.91467684,-77.03689343,1
2,7,3,1990.0,1050000.0,3 Story,1.0,2,1450,38.91463594,-77.03689295,1
2,8,3,1975.0,910000.0,3 Story,1.0,2,1450,38.91455748,-77.03689613,1
1,6,3,1950.0,580000.0,2 Story,1.0,1,1622,38.91468982,-77.03744771,1
1,4,3,2007.0,890000.0,2 Story,1.0,1,1625,38.91468965,-77.03738856,1
1,8,4,2000.0,170000.0,2 Story,1.0,1,1619,38.9146813,-77.0373279,1
3,7,3,1985.0,890000.0,2 Story,2.0,3,1036,38.91594666,-77.03686699,1
2,6,3,2008.0,1120000.0,2 Story,2.0,1,1015,38.91589991,-77.03686708,1
2,8,3,2007.0,834000.0,2 Story,2.0,2,970,38.91585325,-77.03686556,1
2,6,3,2003.0,905000.0,2 Story,2.0,2,996,38.91580767,-77.03686599,1
1,7,2,1980.0,255000.0,2 Story,1.0,1,1014,38.91596395,-77.03718859,1
4,12,3,1987.0,1065000.0,3 Story,2.0,0,1030,38.91604154,-77.03710042,1
1,6,2,2003.0,900000.0,3 Story,1.0,3,900,38.91580652,-77.03733829,1
1,6,2,2006.0,915000.0,2 Story,1.0,1,900,38.91584716,-77.03730095,1
1,5,2,1985.0,250000.0,2 Story,1.0,1,900,38.91588393,-77.03726281,1
3,8,5,2007.0,2000000.0,4 Story,2.0,2,1666,38.91237823,-77.0463719,1
3,10,2,2001.0,2050000.0,3 Story,2.0,6,1666,38.91240042,-77.04607582,1
3,12,4,1988.0,1690000.0,3 Story,2.0,2,1633,38.91240005,-77.04585525,1
5,12,5,2008.0,1735000.0,3 Story,3.0,4,1633,38.91239774,-77.04578226,1
4,7,4,2005.0,1575000.0,3 Story,1.0,2,1080,38.91205915,-77.04638161,1
5,9,5,2014.0,2295000.0,3 Story,2.0,2,1080,38.91212292,-77.04640506,1
7,16,7,2006.0,4100000.0,4 Story,3.0,8,3600,38.91170652,-77.04625732,1
4,10,3,1990.0,1800000.0,3 Story,2.0,5,1620,38.91170468,-77.04636247,1
3,13,7,2011.0,536500.0,3 Story,2.0,3,1113,38.91195943,-77.04637244,1
3,12,5,2006.0,1670000.0,3 Story,2.0,2,1047,38.91201276,-77.04638216,1
1,6,2,1998.0,340000.0,2 Story,1.0,0,718,38.90053837,-77.05234727,1
2,5,3,2004.0,625000.0,2.5 Story Fin,1.0,1,799,38.89994664,-77.05288739,1
1,6,3,2014.0,271000.0,2 Story,1.0,1,714,38.89991519,-77.05291435,1
1,4,2,1956.0,375000.0,2 Story,1.0,0,461,38.8998094,-77.05298632,1
2,6,2,2004.0,1080000.0,3 Story,1.0,1,609,38.89973925,-77.05313037,1
